component,WAIS_to_GIS,WAIS_to_GIS,AMOC_to_GIS,AMOC_to_GIS,GIS_to_AMOC,GIS_to_AMOC,NINO_to_AMOC,NINO_to_AMOC,WAIS_to_AMOC,WAIS_to_AMOC,NINO_to_WAIS,NINO_to_WAIS,AMOC_to_WAIS,AMOC_to_WAIS,GIS_to_WAIS,GIS_to_WAIS,NINO_to_Amazonas,NINO_to_Amazonas,AMOC_to_Amazonas,AMOC_to_Amazonas,AMOC_to_NINO,AMOC_to_NINO,AWSI_to_AMOC,AWSI_to_AMOC,AWSI_to_GIS,AWSI_to_GIS,AWSI_to_PERM,AWSI_to_PERM,AMOC_to_AWSI,AMOC_to_AWSI,AMOC_to_WAM,AMOC_to_WAM,NINO_to_REEF,NINO_to_REEF,PERM_to_AMOC,PERM_to_AMOC
axis,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac
29,,,,,2.4315545243619487,0.29292929292929293,0.2251131221719457,-0.16582914572864316,0.22494172494172493,-0.696969696969697,,,,,,,,,0.7626310772163966,-0.02020202020202011,0.2010443864229765,-0.303030303030303,,,,,,,,,,,,,,
30,,,,,2.5417633410672855,0.30303030303030304,0.2420814479638009,-0.15577889447236182,0.2331002331002331,-0.6868686868686869,,,,,,,,,0.8798856053384175,-0.010101010101010055,,,,,,,,,,,,,,,,
31,,,,,2.668213457076566,0.31313131313131315,0.2669683257918552,-0.14572864321608037,0.23543123543123542,-0.6767676767676767,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
32,,,,,2.805104408352668,0.32323232323232326,0.29638009049773756,-0.13567839195979903,0.24242424242424243,-0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,2.9477958236658934,0.33333333333333337,0.333710407239819,-0.12562814070351758,0.24708624708624707,-0.6565656565656566,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,3.0962877030162415,0.3434343434343435,0.36199095022624433,-0.11557788944723613,0.2517482517482518,-0.6464646464646464,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,3.211136890951276,0.3535353535353536,0.39705882352941174,-0.10552763819095479,0.25990675990675993,-0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,3.3422273781902554,0.36363636363636365,0.4309954751131222,-0.09547738693467334,0.26223776223776224,-0.6262626262626263,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,3.4675174013921115,0.37373737373737376,0.4762443438914027,-0.085427135678392,0.2715617715617716,-0.6161616161616161,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,3.5765661252900234,0.38383838383838387,0.5169683257918553,-0.07537688442211055,0.2773892773892774,-0.606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,3.6867749419953597,0.393939393939394,0.5610859728506787,-0.0653266331658291,0.28205128205128205,-0.5959595959595959,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,3.7784222737819024,0.4040404040404041,0.6018099547511312,-0.055276381909547756,0.289044289044289,-0.5858585858585859,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,3.8921113689095126,0.4141414141414142,0.667420814479638,-0.045226130653266305,0.29603729603729606,-0.5757575757575757,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,3.95707656612529,0.42424242424242425,0.7330316742081447,-0.035175879396984966,0.3006993006993007,-0.5656565656565656,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,4.013921113689095,0.43434343434343436,0.8042986425339367,-0.025125628140703515,0.3041958041958042,-0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,4.0638051044083525,0.4444444444444445,0.8823529411764706,-0.015075376884422065,0.3123543123543124,-0.5454545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,4.112529002320185,0.4545454545454546,0.9604072398190046,-0.005025125628140725,0.31934731934731936,-0.5353535353535352,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,4.165893271461717,0.4646464646464647,1.0531674208144797,0.005025125628140614,0.3275058275058275,-0.5252525252525252,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,4.209976798143852,0.4747474747474748,1.1527149321266967,0.015075376884422065,0.3321678321678322,-0.5151515151515151,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,4.267981438515081,0.48484848484848486,1.2647058823529411,0.025125628140703515,0.3368298368298368,-0.505050505050505,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,4.31322505800464,0.494949494949495,1.411764705882353,0.035175879396984966,0.34265734265734266,-0.4949494949494949,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,4.352668213457076,0.5050505050505051,1.5690045248868778,0.045226130653266416,0.34965034965034963,-0.48484848484848475,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,4.3944315545243615,0.5151515151515152,1.739819004524887,0.055276381909547645,0.35664335664335667,-0.4747474747474747,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,4.426914153132251,0.5252525252525253,1.9626696832579185,0.0653266331658291,0.36713286713286714,-0.46464646464646464,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,4.460556844547564,0.5353535353535354,2.2002262443438916,0.07537688442211055,0.372960372960373,-0.4545454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,4.497679814385151,0.5454545454545455,,,0.3811188811188811,-0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,4.539443155452436,0.5555555555555556,,,0.3927738927738928,-0.43434343434343425,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,4.552204176334107,0.5656565656565657,,,0.3997668997668998,-0.4242424242424242,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,4.5638051044083525,0.5757575757575758,,,0.40559440559440557,-0.41414141414141414,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,4.5846867749419955,0.5858585858585859,,,0.4160839160839161,-0.404040404040404,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,4.5974477958236655,0.595959595959596,,,0.4219114219114219,-0.3939393939393939,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,4.607888631090487,0.6060606060606061,,,0.43356643356643354,-0.38383838383838376,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,4.6160092807424595,0.6161616161616162,,,0.44638694638694637,-0.3737373737373737,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,4.622969837587007,0.6262626262626263,,,0.4533799533799534,-0.36363636363636354,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,4.6287703016241295,0.6363636363636365,,,0.4603729603729604,-0.3535353535353535,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,4.631090487238979,0.6464646464646465,,,0.4696969696969697,-0.3434343434343434,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,4.633410672853828,0.6565656565656566,,,0.4801864801864802,-0.33333333333333326,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,4.6368909512761025,0.6666666666666667,,,0.48717948717948717,-0.3232323232323232,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,4.639211136890951,0.6767676767676768,,,0.5,-0.31313131313131304,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,4.640371229698376,0.696969696969697,,,0.5104895104895105,-0.303030303030303,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,0.5209790209790209,-0.2929292929292928,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,0.534965034965035,-0.28282828282828276,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,0.548951048951049,-0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,0.5617715617715617,-0.26262626262626254,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,0.5745920745920746,-0.2525252525252525,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,0.5874125874125874,-0.24242424242424232,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,0.6072261072261073,-0.23232323232323226,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,0.6247086247086248,-0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,0.6375291375291375,-0.21212121212121204,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,0.6538461538461539,-0.202020202020202,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,0.6713286713286714,-0.19191919191919182,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,0.6853146853146853,-0.18181818181818177,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,0.703962703962704,-0.1717171717171716,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,0.7191142191142191,-0.16161616161616155,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,0.7412587412587412,-0.1515151515151515,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,0.7494172494172494,-0.14141414141414133,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,0.7668997668997669,-0.13131313131313127,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,0.7773892773892774,-0.1212121212121211,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,0.8018648018648019,-0.11111111111111105,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,0.8228438228438228,-0.10101010101010088,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,0.831002331002331,-0.09090909090909083,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,0.844988344988345,-0.08080808080808077,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,0.8706293706293706,-0.07070707070707061,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,0.8904428904428905,-0.06060606060606055,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,0.9102564102564102,-0.050505050505050386,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,0.9230769230769231,-0.04040404040404033,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,0.9428904428904429,-0.030303030303030276,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,0.9638694638694638,-0.02020202020202011,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,0.9825174825174825,-0.010101010101010055,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
