component,WAIS_to_GIS,WAIS_to_GIS,AMOC_to_GIS,AMOC_to_GIS,GIS_to_AMOC,GIS_to_AMOC,NINO_to_AMOC,NINO_to_AMOC,WAIS_to_AMOC,WAIS_to_AMOC,NINO_to_WAIS,NINO_to_WAIS,AMOC_to_WAIS,AMOC_to_WAIS,GIS_to_WAIS,GIS_to_WAIS,NINO_to_Amazonas,NINO_to_Amazonas,AMOC_to_Amazonas,AMOC_to_Amazonas,AMOC_to_NINO,AMOC_to_NINO,AWSI_to_AMOC,AWSI_to_AMOC,AWSI_to_GIS,AWSI_to_GIS,AWSI_to_PERM,AWSI_to_PERM,AMOC_to_AWSI,AMOC_to_AWSI,AMOC_to_WAM,AMOC_to_WAM,NINO_to_REEF,NINO_to_REEF,PERM_to_AMOC,PERM_to_AMOC
axis,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac
0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.07653061224489796,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0
55,,,,,5.804289544235925,0.5555555555555556,,,0.46938775510204084,-0.303030303030303,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,5.986595174262734,0.5656565656565657,,,0.4846938775510204,-0.2929292929292928,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,6.1233243967828415,0.5757575757575758,,,0.4923469387755102,-0.28282828282828276,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,6.294906166219839,0.5858585858585859,,,0.5102040816326531,-0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,6.487935656836461,0.595959595959596,,,0.5280612244897959,-0.26262626262626254,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,6.697050938337801,0.6060606060606061,,,0.5459183673469388,-0.2525252525252525,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,6.898123324396783,0.6161616161616162,,,0.5637755102040817,-0.24242424242424232,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,7.136729222520107,0.6262626262626263,,,0.5816326530612245,-0.23232323232323226,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,7.35656836461126,0.6363636363636365,,,0.5994897959183674,-0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,7.552278820375335,0.6464646464646465,,,0.6122448979591837,-0.21212121212121204,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,7.734584450402145,0.6565656565656566,,,0.6224489795918368,-0.202020202020202,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,7.946380697050938,0.6666666666666667,,,0.6275510204081632,-0.19191919191919182,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,8.158176943699733,0.6767676767676768,,,0.6505102040816326,-0.18181818181818177,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,8.36461126005362,0.686868686868687,,,0.6683673469387755,-0.1717171717171716,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,8.563002680965148,0.696969696969697,,,0.6887755102040817,-0.16161616161616155,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,8.745308310991957,0.7070707070707072,,,0.7117346938775511,-0.1515151515151515,,,,,,,,,,,,,,,,,,,,,,,,,,
