#T_peak T_lim t_conv R mu_0 mu_1
5.0 0.0 400 0.0805 0.0015 0.00004735
5.0 0.0 500 0.0664 0.0015 0.0000298
5.0 0.0 600 0.0567 0.0015 0.00002035
5.0 0.0 700 0.05 0.0015 0.0000147
5.0 0.0 800 0.04475 0.0015 0.00001105
5.0 0.0 900 0.041 0.0015 0.00000858
5.0 0.0 1000 0.0378 0.0015 0.00000682
5.0 0.5 100 0.287 0.0015 0.0008
5.0 0.5 200 0.147 0.0015 0.000195
5.0 0.5 300 0.1005 0.0015 0.000085
5.0 0.5 400 0.0775 0.0015 0.000047
5.0 0.5 500 0.0637 0.0015 0.0000296
5.0 0.5 600 0.0546 0.0015 0.00002019
5.0 0.5 700 0.048 0.0015 0.00001455
5.0 0.5 800 0.0432 0.0015 0.00001095
5.0 0.5 900 0.0394 0.0015 0.0000085
5.0 0.5 1000 0.03635 0.0015 0.00000675
5.0 1.0 100 0.2745 0.0015 0.0008
5.0 1.0 200 0.1397 0.0015 0.000193
5.0 1.0 300 0.0957 0.0015 0.0000842
5.0 1.0 400 0.074 0.0015 0.0000466
5.0 1.0 500 0.0609 0.0015 0.0000292
5.0 1.0 600 0.0521 0.0015 0.00001995
5.0 1.0 700 0.046 0.0015 0.0000144
5.0 1.0 800 0.0413 0.0015 0.000010815
5.0 1.0 900 0.0377 0.0015 0.0000084
5.0 1.0 1000 0.035 0.0015 0.00000668
5.0 1.5 100 0.259 0.0015 0.00079
5.0 1.5 200 0.132 0.0015 0.000191
5.0 1.5 300 0.091 0.0015 0.0000835
5.0 1.5 400 0.07 0.0015 0.000046
5.0 1.5 500 0.0578 0.0015 0.0000289
5.0 1.5 600 0.0497 0.0015 0.0000197
5.0 1.5 700 0.04375 0.0015 0.00001425
5.0 1.5 800 0.0395 0.0015 0.00001071
5.0 1.5 900 0.036 0.0015 0.0000083
5.0 1.5 1000 0.0334 0.0015 0.0000066
5.0 2.0 100 0.243 0.0015 0.00078
5.0 2.0 200 0.125 0.0015 0.00019
5.0 2.0 300 0.0855 0.0015 0.0000825
5.0 2.0 400 0.0662 0.0015 0.0000455
5.0 2.0 500 0.0545 0.0015 0.0000285
5.0 2.0 600 0.047 0.0015 0.0000195
5.0 2.0 700 0.0415 0.0015 0.00001405
5.0 2.0 800 0.0373 0.0015 0.00001055
5.0 2.0 900 0.03425 0.0015 0.00000819
5.0 2.0 1000 0.03175 0.0015 0.0000065
5.5 0.0 100 0.339 0.0015 0.00083
5.5 0.0 200 0.1723 0.0015 0.000200
5.5 0.0 300 0.1177 0.0015 0.000087
5.5 0.0 400 0.0905 0.0015 0.0000480
5.5 0.0 500 0.07448 0.0015 0.0000303
